Date,Description,Amount,Category
2024-05-01,Uber,-120,Transport
2024-05-02,Salary,5000,Income
2024-05-03,Amazon,-250,Shopping
2024-05-04,McDonalds,-100,Food
2024-05-05,Freelance Payment,2000,Income
2024-05-06,Flipkart,-400,Shopping
2024-05-07,Rent,-1500,Housing
2024-05-08,Zomato,-150,Food
2024-06-01,Swiggy,-180,Food
2024-06-02,Salary,5000,Income
2024-06-03,Book Purchase,-350,Education
2024-06-04,YouTube Premium,-129,Entertainment
2024-06-05,Electricity Bill,-600,Utilities
2024-06-06,Cafe Coffee Day,-220,Food
2024-06-07,Bus Ticket,-80,Transport
2024-06-08,Spotify,-119,Entertainment
2024-06-09,Freelance Bonus,1200,Income
2024-06-10,Movie,-250,Entertainment
2024-06-11,Phone Bill,-500,Utilities
